External ID,Name,Barcode,Sales Price,Đơn vị tính,pos_categ_id,Brand
210500118,Thùng 48 bịch Sữa dinh dưỡng Có đường Vinamilk 220ml,210500118,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210500118,Thùng 48 bịch Sữa dinh dưỡng Có đường Vinamilk 220ml,8930210500118,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210500119,Thùng 48 bịch Sữa dinh dưỡng Có đường Happy Star Vinamilk 220ml,210500119,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210500119,Thùng 48 bịch Sữa dinh dưỡng Có đường Happy Star Vinamilk 220ml,8930210500119,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210500120,Thùng 48 bịch Sữa dinh dưỡng Ít đường Vinamilk 220ml,1893467313234,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210500120,Thùng 48 bịch Sữa dinh dưỡng Ít đường Vinamilk 220ml,18934673132340,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210500120,Thùng 48 bịch Sữa dinh dưỡng Ít đường Vinamilk 220ml,210500120,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210500120,Thùng 48 bịch Sữa dinh dưỡng Ít đường Vinamilk 220ml,8930210500120,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210500121,Thùng 48 bịch Sữa dinh dưỡng Không đường Vinamilk 220ml,1893467353535,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210500121,Thùng 48 bịch Sữa dinh dưỡng Không đường Vinamilk 220ml,18934673535356,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210500121,Thùng 48 bịch Sữa dinh dưỡng Không đường Vinamilk 220ml,210500121,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210500121,Thùng 48 bịch Sữa dinh dưỡng Không đường Vinamilk 220ml,8930210500121,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
210501509,Sữa bột Vinamilk Optimum Gold 1 (800g),8930210501509,25000,Hộp,Sữa Cho Bé,Vinamilk
210501509,Sữa bột Vinamilk Optimum Gold 1 (800g),8934673000864,25000,Hộp,Sữa Cho Bé,Vinamilk
210501510,Sữa bột Vinamilk Optimum Gold 3 (850g),8930210501510,25000,Hộp,Sữa Cho Bé,Vinamilk
210501510,Sữa bột Vinamilk Optimum Gold 3 (850g),8934673000895,25000,Hộp,Sữa Cho Bé,Vinamilk
210501511,Sữa bột Vinamilk Optimum Gold 4 (850g),8930210501511,25000,Hộp,Sữa Cho Bé,Vinamilk
210501511,Sữa bột Vinamilk Optimum Gold 4 (850g),8934673000918,25000,Hộp,Sữa Cho Bé,Vinamilk
210701051,Sữa đặc có đường Vinamilk Ngôi Sao Phương Nam xanh biển 380g - (date: 24/10/2021),210701051,25000,Lon,Sữa Đặc,Vinamilk
210701051,Sữa đặc có đường Vinamilk Ngôi Sao Phương Nam xanh biển 380g - (date: 24/10/2021),8930210701051,25000,Lon,Sữa Đặc,Vinamilk
210800073,Thùng 48 Lon sữa đặc có đường Vinamilk Ông Thọ xanh 380g - (date: 24/09/2021),210800073,25000,Thùng,Sữa Đặc,Vinamilk
210800073,Thùng 48 Lon sữa đặc có đường Vinamilk Ông Thọ xanh 380g - (date: 24/09/2021),8930210800073,25000,Thùng,Sữa Đặc,Vinamilk
210800765,Thùng 48 Lon sữa đặc có đường Vinamilk Ngôi Sao Phương Nam xanh biển 380gr - (date: 24/10/2021),210800765,25000,Thùng,Sữa Đặc,Vinamilk
210800765,Thùng 48 Lon sữa đặc có đường Vinamilk Ngôi Sao Phương Nam xanh biển 380gr - (date: 24/10/2021),8930210800765,25000,Thùng,Sữa Đặc,Vinamilk
210900355,STTT ít đường Vinamilk 1L - (Date - 13/10/2021),210900355,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
210900355,STTT ít đường Vinamilk 1L - (Date - 13/10/2021),8930210900355,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
211003178,Sữa bột Vinamilk Sure Diecerna lon 400g,8930211003178,25000,Hộp,Sữa Cho Người Cao Tuổi,Vinamilk
211003178,Sữa bột Vinamilk Sure Diecerna lon 400g,8934673051163,25000,Hộp,Sữa Cho Người Cao Tuổi,Vinamilk
211003179,Sữa bột Vinamilk Sure Diecerna lon 900g,8930211003179,25000,Hộp,Sữa Cho Người Cao Tuổi,Vinamilk
211003179,Sữa bột Vinamilk Sure Diecerna lon 900g,8934673051194,25000,Hộp,Sữa Cho Người Cao Tuổi,Vinamilk
211106318,Thùng 48 bịch Sữa dinh dưỡng Hương dâu Vinamilk 220ml - (Date - 25/12/2021),211106318,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
211106318,Thùng 48 bịch Sữa dinh dưỡng Hương dâu Vinamilk 220ml - (Date - 25/12/2021),8930211106318,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
220101575,Thùng 48 hộp STTT hương dâu Vinamilk 180ml - (Date - 16/03/2022),220101575,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220101575,Thùng 48 hộp STTT hương dâu Vinamilk 180ml - (Date - 16/03/2022),8930220101575,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220101579,Thùng 48 hộp STTT không đường Vinamilk 180ml - (Date - 08/03/2022),220101579,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220101579,Thùng 48 hộp STTT không đường Vinamilk 180ml - (Date - 08/03/2022),8930220101579,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220300011,STTT không đường Vinamilk 1L - (Date - 17/04/2022),220300011,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
220300011,STTT không đường Vinamilk 1L - (Date - 17/04/2022),8930220300011,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
220300290,Thùng 48 hộp SDD TT có đường Vinamilk ADM 110ml - (Date - 15/04/2022),220300290,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
220300290,Thùng 48 hộp SDD TT có đường Vinamilk ADM 110ml - (Date - 15/04/2022),8930220300290,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
220300412,Thùng 48 bịch Sữa dinh dưỡng Ít đường Vinamilk 220ml - (Date - 08/04/2022),220300412,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
220300412,Thùng 48 bịch Sữa dinh dưỡng Ít đường Vinamilk 220ml - (Date - 08/04/2022),8930220300412,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
220300413,Thùng 48 bịch Sữa dinh dưỡng Ít đường Vinamilk 220ml - (Date - 06/03/2022),220300413,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
220300413,Thùng 48 bịch Sữa dinh dưỡng Ít đường Vinamilk 220ml - (Date - 06/03/2022),8930220300413,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
220304021,Thùng 48 hộp STTT hương dâu Vinamilk 180ml - (Date - 26/04/2022),220304021,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220304021,Thùng 48 hộp STTT hương dâu Vinamilk 180ml - (Date - 26/04/2022),8930220304021,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220400201,Thùng 48 hộp SDD TT dâu Vinamilk ADM 110ml - (Date - 02/06/2022),220400201,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
220400201,Thùng 48 hộp SDD TT dâu Vinamilk ADM 110ml - (Date - 02/06/2022),8930220400201,25000,Thùng,Sữa Dinh Dưỡng Tiệt Trùng,Vinamilk
220400202,Thùng 48 hộp STT có đường Vinamilk ADM 180ml - (Date - 07/06/2022),220400202,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220400202,Thùng 48 hộp STT có đường Vinamilk ADM 180ml - (Date - 07/06/2022),8930220400202,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220400203,Thùng 48 hộp STTT sôcôla Vinamilk 110ml - (Date - 06/06/2022),220400203,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220400203,Thùng 48 hộp STTT sôcôla Vinamilk 110ml - (Date - 06/06/2022),8930220400203,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220400204,Thùng 48 hộp STTT có đường Vinamilk 110ml - (Date - 28/05/2022),220400204,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220400204,Thùng 48 hộp STTT có đường Vinamilk 110ml - (Date - 28/05/2022),8930220400204,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220400205,STTT ít đường Vinamilk 1L - (Date - 26/05/2022),220400205,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
220400205,STTT ít đường Vinamilk 1L - (Date - 26/05/2022),8930220400205,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
220400206,STTT không đường Vinamilk 1L - (Date - 10/05/2022),220400206,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
220400206,STTT không đường Vinamilk 1L - (Date - 10/05/2022),8930220400206,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
220400207,Thùng 48 hộp STTT không đường Vinamilk 180ml - (Date - 09/05/2022),220400207,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
220400207,Thùng 48 hộp STTT không đường Vinamilk 180ml - (Date - 09/05/2022),8930220400207,25000,Thùng,Sữa Tươi Tiệt Trùng,Vinamilk
2307077264365,Sữa Bột Vinamilk Optimum Gold 3 Hộp Thiếc (1500g),2307077264365,25000,Cái,Sữa Cho Bé,Vinamilk
2405390271340,Sữa Bột Vinamilk Dielac Grow Plus 2+ - Xanh Hộp Thiếc 900g,2405390271340,25000,Cái,Sữa Cho Bé,Vinamilk
2405390271340,Sữa Bột Vinamilk Dielac Grow Plus 2+ - Xanh Hộp Thiếc 900g,8934673008198,25000,Cái,Sữa Cho Bé,Vinamilk
2447642097322,Sữa Bột Vinamilk Dielac Alpha 1 - Hộp Thiếc 900g,2447642097322,25000,Cái,Sữa Cho Bé,Vinamilk
2447642097322,Sữa Bột Vinamilk Dielac Alpha 1 - Hộp Thiếc 900g,8934673735919,25000,Cái,Sữa Cho Bé,Vinamilk
2497668070137,Bột Ăn Dặm Vinamilk Ridielac Gold Lươn Cà Rốt Đậu Xanh (200g / Hộp Giấy),8934673427036,25000,Cái,Thực Phẩm Ăn Dặm,Vinamilk
3398556964080,Sữa Bột Vinamilk Dielac Alpha Gold IQ Step 3 Hộp Thiếc (1500g),3398556964080,25000,Cái,Sữa Cho Bé,Vinamilk
3546429040670,Sữa Bột Vinamilk Sure Prevent - Hộp Thiếc 900g,3546429040670,25000,Cái,Sữa Cho Người Cao Tuổi,Vinamilk
4159827243001,Sữa Bột Vinamilk Sure Diecerna - Hộp Thiếc 900g,4159827243001,25000,Cái,Sữa Cho Người Cao Tuổi,Vinamilk
5321639562567,Bột Ăn Dặm Vinamilk Ridielac Gold Gà Rau Củ (200g / Hộp Giấy),8934673426039,25000,Cái,Thực Phẩm Ăn Dặm,Vinamilk
5552864614404,Sữa Bột Vinamilk Dielac Alpha Gold IQ Step 4 - Hộp Thiếc 900g,5552864614404,25000,Hộp,Sữa Cho Bé,Vinamilk
5552864614404,Sữa Bột Vinamilk Dielac Alpha Gold IQ Step 4 - Hộp Thiếc 900g,8934673066181,25000,Hộp,Sữa Cho Bé,Vinamilk
5681906539228,Sữa Bột Vinamilk Optimum Gold 3 - Hộp Thiếc 900g,5681906539228,25000,Cái,Sữa Cho Bé,Vinamilk
5681906539228,Sữa Bột Vinamilk Optimum Gold 3 - Hộp Thiếc 900g,8934673188197,25000,Cái,Sữa Cho Bé,Vinamilk
6303100553853,Sữa Bột Vinamilk Optimum Gold 1 - Hộp Thiếc 900g,6303100553853,25000,Cái,Sữa Cho Bé,Vinamilk
6303100553853,Sữa Bột Vinamilk Optimum Gold 1 - Hộp Thiếc 900g,8934673177191,25000,Cái,Sữa Cho Bé,Vinamilk
6314165105499,Sữa Bột Vinamilk Dielac Alpha Gold IQ Step 1 - Hộp Thiếc 900g,6314165105499,25000,Cái,Sữa Cho Bé,Vinamilk
6314165105499,Sữa Bột Vinamilk Dielac Alpha Gold IQ Step 1 - Hộp Thiếc 900g,8934673063180,25000,Cái,Sữa Cho Bé,Vinamilk
6501245945155,Sữa Bột Vinamilk Dielac Alpha Gold IQ Step 4 Hộp Thiếc (1500g),6501245945155,25000,Cái,Sữa Cho Bé,Vinamilk
6536171965342,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Vinamilk 100% Ít Đường (180ml),18934673581346,25000,Cái,Sữa Tươi Tiệt Trùng,Vinamilk
6536171965342,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Vinamilk 100% Ít Đường (180ml),6536171965342,25000,Cái,Sữa Tươi Tiệt Trùng,Vinamilk
6813860010294,Sữa Bột Vinamilk Dielac Grow Plus 1+ - Xanh Hộp Thiếc 900g,6813860010294,25000,Cái,Sữa Cho Bé,Vinamilk
6813860010294,Sữa Bột Vinamilk Dielac Grow Plus 1+ - Xanh Hộp Thiếc 900g,8934673007191,25000,Cái,Sữa Cho Bé,Vinamilk
8067365274776,Lốc 6 Chai Sữa Bột Pha Sẵn Vinamilk Sure Prevent (200ml),8067365274776,25000,Cái,Sữa Cho Người Cao Tuổi,Vinamilk
8067365274776,Lốc 6 Chai Sữa Bột Pha Sẵn Vinamilk Sure Prevent (200ml),8934673122092,25000,Cái,Sữa Cho Người Cao Tuổi,Vinamilk
8067365274776,Lốc 6 Chai Sữa Bột Pha Sẵn Vinamilk Sure Prevent (200ml),8934673122559,25000,Cái,Sữa Cho Người Cao Tuổi,Vinamilk
8202661541577,Sữa Bột Vinamilk Optimum Gold 4 - Hộp Thiếc 900g,8202661541577,25000,Cái,Sữa Cho Bé,Vinamilk
8202661541577,Sữa Bột Vinamilk Optimum Gold 4 - Hộp Thiếc 900g,8934673191197,25000,Cái,Sữa Cho Bé,Vinamilk
8424437831624,Sữa Bột Vinamilk Dielac Alpha 2 - Hộp Thiếc 900g,8424437831624,25000,Cái,Sữa Cho Bé,Vinamilk
8424437831624,Sữa Bột Vinamilk Dielac Alpha 2 - Hộp Thiếc 900g,8934673736916,25000,Cái,Sữa Cho Bé,Vinamilk
8934673109345,St Tiệt Trùng Vinamilk Không Đường 100% Organic 180ml,8934673109345,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
8934673312530,Sữa Chua Uống Tt Nha Đam Vinamilk Yomilk Chai 150ml,8934673312530,25000,Chai,Sữa Chua Uống,Vinamilk
8934673313537,Sữa Chua Uống Tt Lựu Đỏ Vinamilk Yomilk Chai 150ml,8934673313537,25000,Chai,Sữa Chua Uống,Vinamilk
8934673575348,St Tiêt Trùng Vinamilk  Hương Socola 180ml,8934673575348,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
8934673581349,St Tiêt Trùng Vinamilk  Ít Đường 180ml,8934673581349,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
8934673700108,Nước uống ICY PREMIUM Vinamilk 450ml,8934673700108,25000,Cái,Nước Giải Khát,Vinamilk
8934673822565,Nước Chanh Muối Icy Vinamilk (350ml),8934673822565,25000,Chai,Nước Giải Khát,Vinamilk
8969793946488,Sữa Bột Vinamilk Dielac Alpha Gold IQ Step 3 - Hộp Thiếc 900g,8934673065184,25000,Hộp,Sữa Cho Bé,Vinamilk
8969793946488,Sữa Bột Vinamilk Dielac Alpha Gold IQ Step 3 - Hộp Thiếc 900g,8969793946488,25000,Hộp,Sữa Cho Bé,Vinamilk
9023491287287,Sữa Bột Vinamilk Dielac Grow Plus 2+ - Đỏ Hộp Thiếc 900g,8934673174190,25000,Cái,Sữa Cho Bé,Vinamilk
9023491287287,Sữa Bột Vinamilk Dielac Grow Plus 2+ - Đỏ Hộp Thiếc 900g,9023491287287,25000,Cái,Sữa Cho Bé,Vinamilk
9144375929656,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Vinamilk 100% Có Đường (180ml),9144375929656,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
9248791276957,Sữa bột Vinamilk Dielac Grow 2+ -  Đỏ Hộp Thiếc 900g,9248791276957,25000,Cái,Sữa Cho Bé,Vinamilk
9274742836659,Sữa Bột Vinamilk Dielac Alpha 3 - Hộp Thiếc 900g,9274742836659,25000,Cái,Sữa Cho Bé,Vinamilk
9334502384117,Sữa Bột Vinamilk Dielac Alpha Step 3 Hộp Thiếc (1500g),9334502384117,25000,Cái,Sữa Cho Bé,Vinamilk
9447398581192,Sữa Bột Vinamilk Sure Prevent - Hộp Thiếc 400g,8934673068161,25000,Lon,Sữa Cho Người Cao Tuổi,Vinamilk
9447398581192,Sữa Bột Vinamilk Sure Prevent - Hộp Thiếc 400g,9447398581192,25000,Lon,Sữa Cho Người Cao Tuổi,Vinamilk
9503021539340,Sữa Bột Vinamilk Dielac Alpha Gold IQ Step 2 - Hộp Thiếc 900g,8934673064187,25000,Cái,Sữa Cho Bé,Vinamilk
9503021539340,Sữa Bột Vinamilk Dielac Alpha Gold IQ Step 2 - Hộp Thiếc 900g,9503021539340,25000,Cái,Sữa Cho Bé,Vinamilk
